#"Step" "Time (ps)" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Temperature (K)"
10 0.010000000000000002 -21897.79081697137 4043.203013497987 307.87429072144687
20 0.02000000000000001 -21826.94316072137 3868.875226063188 294.146079910096
30 0.03000000000000002 -21671.82995175172 4001.884439429501 304.4772570024421
40 0.04000000000000003 -22302.25182675172 3864.703248474805 294.54857921221077
50 0.05000000000000004 -22558.344811542822 3960.4095086429734 301.25866165500656
60 0.060000000000000046 -22071.075280292822 3897.2658716332517 297.3048651247097
70 0.07000000000000005 -22050.294030292822 3915.1441075229814 298.22905244867593
80 0.08000000000000006 -22362.747155292822 3923.451349063369 298.976854574709
90 0.09000000000000007 -21829.876061542822 3885.0827291270252 296.66929515617164
100 0.10000000000000007 -22007.204474490216 3791.3856294444995 289.4685811015886
110 0.11000000000000008 -22397.532599490216 3674.8985257709865 280.7551957122034
120 0.12000000000000009 -21589.253302615216 3725.3926877591293 283.967943916062
130 0.1300000000000001 -20754.416673200893 3762.5784859063715 286.94908973169026
140 0.1400000000000001 -21752.041673200893 3802.0272487523034 290.15318315079634
150 0.1500000000000001 -22057.067063825893 3617.2767318747938 275.71309755944463
160 0.16000000000000011 -20961.307298200893 3848.904716011486 293.5120692983568
170 0.17000000000000012 -21329.449876325893 3940.391532397887 301.15494868683277
180 0.18000000000000013 -22531.879433877 3961.4849725989625 303.0608769459686
190 0.19000000000000014 -22158.305215127 3872.178085306892 296.0625158539567
200 0.20000000000000015 -21490.738808877 3884.8785111817997 296.96353317644986
210 0.21000000000000016 -21961.693887002 3922.143873219611 299.5878983933674
220 0.22000000000000017 -22375.691933877 3877.0559724096674 296.6631304585387
230 0.23000000000000018 -22957.82506215898 3913.104825443006 298.04475702463884
240 0.24000000000000019 -22370.00279653398 4083.428417642601 312.7135513638939
250 0.25000000000000017 -21246.454386853777 3877.9468033023295 296.44458125945647
260 0.2600000000000002 -21746.454386853777 4056.400445975247 309.90323759898854
270 0.2700000000000002 -22713.577433728777 3986.763718573493 304.7821996079254
280 0.2800000000000002 -21824.348918103777 3913.528022427694 298.3787952725293
290 0.2900000000000002 -20617.372355603777 4122.345234185865 313.95121257224037
300 0.3000000000000002 -20970.824727237134 4074.2951175779453 311.2951298926806
310 0.3100000000000002 -22296.641133487134 3860.572076778859 295.4301741228956
320 0.32000000000000023 -21950.693867862134 3866.9929962747265 295.4052744495115
330 0.33000000000000024 -21190.34878866509 3904.8176541492576 297.8187999050189
340 0.34000000000000025 -21818.67300741509 3916.3219153194805 298.8473759098629
350 0.35000000000000026 -22441.28628866509 4003.013786182506 305.95853919913804
360 0.36000000000000026 -22656.98746054009 3999.6865452355705 306.0198450012285
370 0.3700000000000003 -22412.13394491509 3968.81663055066 303.79205731085455
380 0.3800000000000003 -21439.90738241509 3998.5499801213737 305.37446404296287
390 0.3900000000000003 -21255.94839804009 4133.891705390299 315.995597351138
400 0.4000000000000003 -22630.8230462776 3885.099996460951 297.03296467529026
410 0.4100000000000003 -22339.1472650276 3959.0602896127384 301.6443908380074
420 0.4200000000000003 -21429.7527337776 4027.5188296190463 307.69436513871585
430 0.4300000000000003 -21500.8699212776 3861.7976473305607 295.73924000819073
440 0.44000000000000034 -22312.6785150276 3896.012514178932 297.0991066429819
450 0.45000000000000034 -21839.7097650276 3946.4156141451094 301.6847045158844
460 0.46000000000000035 -20860.7585931526 3810.5008726472734 291.48071210569157
470 0.47000000000000036 -21080.8269525276 3828.0333285757806 292.2694454565349
480 0.48000000000000037 -21606.0105462776 3836.83614062547 293.39270192277655
490 0.4900000000000004 -22486.2058587776 4046.7662270865985 308.36282562156606
500 0.5000000000000003 -22228.776223231715 4087.311787007493 313.43286311619994
510 0.5100000000000003 -21162.550434317414 3943.889482250437 302.02861335961666
520 0.5200000000000004 -20915.575552036134 3933.373589182738 300.3816092420031
530 0.5300000000000004 -22640.592599354724 4091.048399893858 313.2156873045464
540 0.5400000000000004 -22529.9061051447 4021.392448247876 307.7516827742857
550 0.5500000000000004 -20586.222581164373 3895.2589188038837 297.93370971339385
560 0.5600000000000004 -21544.128760203977 3951.0912353360327 301.902782665714
570 0.5700000000000004 -22229.091653634503 3956.992123579723 301.77489320031026
580 0.5800000000000004 -21690.3274274571 3990.2168062520213 304.4445359403
590 0.5900000000000004 -21391.151234664794 3858.7229242270696 295.8035673211565
600 0.6000000000000004 -21316.887268224804 3821.5864815859823 291.5091764178267
610 0.6100000000000004 -21132.919881434904 3857.8334751338116 295.51829718749326
620 0.6200000000000004 -21582.798944034817 3819.078250748047 291.65241359735677
630 0.6300000000000004 -22148.67614081019 3829.7372025765944 292.52220769351555
640 0.6400000000000005 -21302.46548633885 3797.5662476732396 290.0406603217984
650 0.6500000000000005 -21825.869880962575 3931.6563720335253 300.5622563219077
660 0.6600000000000005 -22836.070875051133 3919.3226849474013 299.1009304380742
670 0.6700000000000005 -21367.69353219498 4027.0062152246246 307.8839412719699
680 0.6800000000000005 -21666.691593757838 3999.7077336548246 305.6014115118623
690 0.6900000000000005 -21964.1552878702 3928.6251087826095 300.4509055272242
700 0.7000000000000005 -21269.482778582667 3878.9616896844236 297.0081237667366
710 0.7100000000000005 -21195.440341145397 3927.4906439157203 300.60984089741436
720 0.7200000000000005 -21482.381946779144 3965.0592344184406 303.45019883292036
730 0.7300000000000005 -21125.409688216176 3934.136227098992 300.94775959049343
740 0.7400000000000005 -22605.206963341916 3968.1778947319253 302.544257443508
750 0.7500000000000006 -22667.970935499176 3964.271471869899 303.4633533222396
760 0.7600000000000006 -21036.89264299463 3844.8005934321554 293.48823326124165
770 0.7700000000000006 -21818.189399679428 4005.41838618787 305.58888389672546
780 0.7800000000000006 -22759.99397417541 4081.0208127455553 312.51621335636867
790 0.7900000000000006 -21592.198803212934 3908.7201624973677 299.7054331701707
800 0.8000000000000006 -20713.45730291796 3869.302312854299 295.758585313177
810 0.8100000000000006 -21272.359755752754 3945.977631016576 301.05454151146756
820 0.8200000000000006 -21360.527602736136 3949.2077824987937 302.0246379641536
830 0.8300000000000006 -21230.130393903393 3911.3622903866926 298.6035064711427
